tittle,review,stars
Ambil penerbangan pagi," Air adalah maskapai budgeted dan sepi terkenal dengan keterlambatan atau keterlambatan jadwal dan membuat pelanggannya kecewa. Kali ini, perjalanan saya dari jakarta ke Singapura. Bisa saya katakan dan harus saya akui bahwa  Air memiliki jadwal penerbangan ke singapore yang lebih banyak dari maskapai lain. Jadwal paling awal jam 06.00 oleh  Air dan memanfaatkan penerbangan paling awal, jadi jadwalnya tepat waktu! Perlu diketahui bahwa ini adalah maskapai yang dianggarkan, jadi Anda bisa melewatkan makan selama perjalanan. Ruang kaki sempit, tapi saya bisa menukarnya dengan jadwal tepat waktu. Semoga penerbangan menyenangkan!",3
Penerbangan wisata singkat," Air adalah maskapai ekonomi ""tanpa embel-embel"". Namun ketika Anda bepergian dengan mereka bersiaplah untuk perubahan gat menit terakhir dan sering delay keberangkatan yang lama. Pada kesempatan ini hanya perubahan gerbang menit terakhir dan penerbangan tepat waktu dan penerbangan lancar ke Kupang, benar-benar menyenangkan. Sayangnya kurang dalam layanan konsultasi / informasi pelanggan, keterampilan semoga ini akan datang seiring waktu. Penumpang sering terlambat sampai menit terakhir tidak tahu apa yang terjadi di dalamnya delay.",4
Oke," Air adalah maskapai murah, tetapi tidak seperti maskapai lain,  Air sebenarnya memasukkan bagasi 20 kilo per orang. Jadi Anda tidak perlu khawatir dengan barang bawaan Anda. Karena saya dan keluarga bepergian saat Hari Raya Idul Fitri, harganya naik 1,5 kali lipat dari harga normal, tetapi masih wajar dengan seringnya mereka terbang antara Jakarta dan  pura.",3
Kotoran murah dengan kualitas bagus, air adalah maskapai penerbangan berbiaya rendah. Namun Anda mendapatkan bagasi check-in gratis dan ruang kaki yang baik. Tidak ada makanan atau minuman yang ditawarkan tetapi harganya luar biasa rendah. Tidak ada layar hiburan sekalipun. Layanan baik.,4
Maskapai Murah Bagus, air adalah maskapai penerbangan murah tetapi Anda akan menyukainya karena mereka memberikan bagasi gratis 20kg setiap orang untuk penerbangan ini dengan harga murah. Mereka tidak bisa online check in untuk penerbangan internasional.,4
  delay," Air adalah pilihan terbaik Anda jika Anda ingin perjalanan Anda delay, melewatkan pertemuan bisnis, ketinggalan penerbangan lanjutan, meningkatkan tingkat stres, kurang tidur, dan merusak hari Anda.",1
Maskapai Sering Delay," Air adalah salah satu maskapai paling sering delay di Aceh dan Medan. Perjalanan saya dari Banda Aceh - Jakarta pernah delay sampai 1 hari (24) saat transit di Bandara Kualanamu (Medan). Jika kamu sedang ada keperluan penting, sangat tidak direkomendasikan untuk menggunakan maskapai ini.",2
Terbanglah bersama  Air Pilihan Cerdas Penerbangan," Air adalah salah satu maskapai penerbangan yang memberikan kenyamanan. Harga tiket yang sangat bersaing dan pelayanan yang memuaskan.  Air telah melebarkan sayapnya denngan maskapai wings air yang menjadi anak perusanhaan. yang menandakan maskapai ini cukup baik untuk dipilih, menggunakan pesawat yang panjang sehingga tidak terlalu bergemuru. lending yang cukup baik",3
Malu-maluin Maskapai Indonesia," Air adalah satu-satunya maskapai penerbangan dengan rekor terbanyak, mungkin harus masuk ke Guinness Book of Record 1. Penerbangan dengan penerbangan paling banyak dibatalkan dalam seminggu 2. Penerbangan dengan penerbangan paling delay dalam seminggu (yang saya bicarakan delay lebih dari 2 jam, delay setengah jam untuk  Air sangat fantastis) 3. Penerbangan dengan ruang kaki terkecil di dunia 4. Penerbangan dengan makanan terburuk (dan Anda harus membayar) 5. Penerbangan paling tidak aman di dunia dunia, begitu Anda naik, Anda akan melihat orang-orang dengan laptop, telepon, anak-anak bermain game di gadget mereka, dan tidak ada seorang pun ... sama sekali tidak ada yang peduli tentang itu.. pramugari ada di belakang bermain dengan gadget nya juga.. bikin penasaran kapan pesawat ini turun... seriusan... konyol banget.. 6. Jangan repot-repot nanya selimut.. tenang aja, AC nya cuma cukup buat kamu untuk bernapas pula, tidak keren sama sekali. 7. Ketika Anda terbang pada waktu keberangkatan terakhir, bersiaplah untuk dibatalkan dan dipindahkan ke waktu sebelumnya, jika Anda menelepon bahwa Anda tidak dapat datang pada waktu itu, mereka akan menjadwal ulang Anda pada penerbangan berikutnya, yang mungkin 24 jam. jam ke depan. Mereka tidak peduli jika Anda memiliki janji penting, seseorang dalam keluarga Anda sakit atau meninggal. Bagi mereka mengatakan maaf akan menyelesaikan segalanya dan semua orang harus bahagia. 8. Hal yang sama ketika Anda terbang paling awal, bersiaplah untuk pindah ke penerbangan berikutnya.. jika Anda setuju, mereka akan memindahkan Anda seperti dalam 6 jam ke depan, tetapi luar biasa ketika Anda bertanya apakah ada penerbangan dalam 1 jam waktu, mereka berkata ya..apakah Anda ingin saya memesan Anda..? halo...?? apakah otakmu bekerja...?? Itulah alasan mengapa saya berhenti menerbangkan  Air. Saya tidak pernah menolak tawaran pekerjaan apa pun, tetapi jika ada tawaran dari  Air, saya tidak akan pernah ragu untuk menolaknya ... Cukup memalukan untuk mengalaminya, apalagi menjadi bagiannya.. maskapai ini tidak sepadan dengan harganya sama sekali ,  adalah maskapai budget berikutnya yang dimiliki oleh , adalah salah satu yang terbaik..lupakan  Air, kecuali jika Anda bepergian dengan pikiran yang sangat damai dan tidak keberatan dengan apa yang saya katakan. Tetapi jika Anda punya waktu, maka bepergianlah dengan maskapai lain yang akan membawa Anda keliling Indonesia sebelum Anda mencapai tujuan Anda. Karena waktu yang dihabiskan akan tetap sama..paling tidak pusing..",1
Terbang dengan Nyaman," air beberapa waktu yang lau seringkali delay. Tapi akhir-akhir ini,  cenderun on time. Selamat. Semoga kondisi ini bisa dipertahankan.",4
 Air, air benar-benar yang terburuk. Mereka terus-menerus delay dan mereka tidak memberi tahu Anda tentang hal itu sampai Anda seharusnya sudah berada di pesawat. Bagian terburuknya adalah mereka tidak lebih murah daripada maskapai domestik lainnya.,1
cara murah terbang dari jakarta ke sumbawa besar," Air dan Sister Compagny Wings air memang mengalami keterlambatan, apakah saya menggunakannya sebagai cara yang murah dan bagus untuk bepergian dari Jakarta ke Sumbawa Besar. dengan 1 perhentian di Mataram (Lombok) Di Indonesia hal-hal tidak selalu begitu terorganisir di bandara. tapi yang Anda telah mencapai tujuan Anda dengan cepat dilupakan.",3
Maskapai Paling Buruk Indonesia," Air dari berbagai macam maskapai yang saya coba adalah maskapai yang paling tidak reliable dengan pengalaman yang paling buruk. Bahkan naik angkot saja serasa lebih mending daripada , Business operation yang digunakan hanya menggunakan mindset licik untuk memanfaatkan celah dan kelemahan pengguna Dari awal harusnya sudah tau kalau jumlah penumpang tidak banyak ketika pandemi, tapi masih dengan sengaja membuka banyak opsi jadwal supaya calon penumpang terjaring, lalu dengan seenaknya meng-cancel dan menggeser jadwal supaya penerbangan mereka bisa penuh. Sistem tebar jala seperti ini yang membuat penerbangan  pasti delay dan reschedule, jangan pernah harap terbang sesuai tiket yang dibeli Kalau tidak terpaksa dan ada opsi lain, saya sudah pakai maskapai lain walau lebih mahal. Kongkalingkong dengan stakeholder ini yang ngebikin rakyat Indonesia hanya punya opsi  untuk terbang, sampah sekali ",1
Delay? Untung bisa maju," Air delay? Sudah biasa. Tapi dari info yang saya dapat, kita dapat memajukan jam penerbangan kita jika masih ada kursi kosong. Ketika saya sampai di airport lebih awal dari skejul, kami bermaksud mengadu peruntungan dengan mengubah jadwal terbang. Ternyata bisa, walaupun setelah dikalkulasi, jadwal terbang saya hanya maju setengah jam karena skejul yg saya tempati juga delay 45 menit. Tapi ok lah.  Lumnayan, setengah jam.",3
"Harga murah, fasilitas terbatas, jadwal prime time"," air dijadikan pilihan karena utk jadwal yg paling sesuai, harga murah, tapi fasilitas terbatas, dan sering delay, pengambilan bagasi yg butuh waktu lama, dgn kata lain kita pilih , krn tdk ada kompetitor nya, apalagi skrg hrg tiket naik, ditambah tidak dpt bagasi, sayang sekali",3
Armada cukup lengkap dan baru," Air Group terbilang pesat perkembangannya dengan konsep cheap flight. Di Indonesia, setahu saya  Group memiliki 3 nama maskapai yang dimotorinya yaitu  Air, Wings Air dan , selain ada anggota grup lainnya seperti . Untuk penerbangan pendek saya lebih memilih  Air, namun penerbangan di atas satu jam saya menggunakan Batik karena tempat lebih sedikit lega dan menerapkan full service. Kadang kalau kebetulan beruntung kita dapat harga promo lumayan murah dibanding dengan pesawat tanpa service sekalipun. Disamping itu  punya konten hiburan yang lumayan bagus. Yang membuat saya belum paham benar adalah masalah pelayanan dan penyambutan. Terasa sekali bahwa pelayanan dan penyambutan di Batik jauh berbeda dari  Air sendiri. Kesan itu saya dapatkan saat check in di Bandara dan sambutan dan pelayanan crew di atas pesawat.  Air terkesan judes atau jutek kata anak-anak sekarang, bandingkan dengan Batik yang selalu menebar senyum ramah baik disambut saat check in maupun di atas peawat. Kesan ini akhirnya membawa kita berkesimpulan bahwa mungkin SOP mereka seperti itu, bahwa dengan pesawat rate murah layak mendapatkan pelayanan yang seadanya, kalau bayar mahal baru dapat senyuman khasnya. Mudah-mudahan saya salah, tapi kita semua penumpang setia  sepakat menangkap fenomena itu. Pesawat cukup bagus dan terawat dengan cukup baik, hanya mungkin petugas2 teknisinya didisiplinkan lagi agar tidak terdengar insiden beberapa kelalaian seperti diberitakan di media masa.",3
Walaupun anda kesal...tapi ia dibutuhkan karena banyaknya slot penerbangan," Air ini dibenci tetapi dirindukan..dengan armada terbesar di Indonesia selayaknya mereka terus memperbaiki kinerja disetiap lini dan bisa dikatakan mereka perlu banyak pesawat cadangan agar tidak terjadi penumpukan penumpang yang ter delay akibat hasil pemeriksaan diketahui landing gear ataupun ban vulkanisirnya ""tiba tiba"" sudah terlalu tipis....",3
Kali ini tidak telat," air itu dibenci sekaligus dicintai. Dibenci karena hampir selalu telat namun dicintai karena selalu memberikan harga paling terjangkau. Ya memang benar dari beberapa kali saya terbang bersama  Air (karena keadaan tertentu seperti misalnya tiket dipesankan/dibelikan), hampir selalu delay. Namun penerbangan terakhir saya dengan JT609 dari Sultan Thaha Jambi sungguh berkesan karena JT609 dijadwalkan terbang pada pukul 18:10. Pukul 18:00 penumpang sudah boarding dan beberapa menit kemudian sudah take off, sungguh mengagumkan.",3
rute penerbangan paling lengkap dengan harga bersaing," Air jadi pilihan utama kalo mau ke Padang ataupun dari Padang mau pulang ke Jakarta. Alasan pertama sih karena  punya banyak pilihan jam terbang, kalo tidak salah sampe 8x JKT-PDG PP deh Alasan kedua karena harga yang ditawarkan  cukup terjangkau dengan fasilitas yang diberikan sesuai. Untuk penerbangan JKT-PDG emang engga dapet makanan sih mengingat durasi penerbangan sekitar 1,5 jam aja. Tapi bagasi yang diberikan  air 15 kg/orang menurut saya cukup longgar untuk bawa oleh-oleh dari tanah minang deh :) Meskipun  sudah dikenal suka delay, tetep aja milih  karena punya pilihan jam terbang yang lebih banyak dan harga yang masuk akal ",3
Tidak ada info pindah gate," Air Jakarta-Changi pukul 11.13 Wib. Di boarding pass tertera gate E6. Awalnya, semuanya lancar , aman , terkendali, tanpa ada info delay, mogok, cuaca buruk dll. Menuju pukul 09.45 wib, waktunya kami dipanggil mau masuk gate, ternyata oleh petugas disampaikan bahwa utk flight ke Changi pindah ke gateD4. Masyaa Allah, kenapa tidak dari tadi? Kenapa sedari tadi diem-diem aja? Begitu kita mau masuk, baru dikasih kabar.. ya ampun. Marahpun pada mereka tak ada guna, hanya buang energi saja...lebih baik simpan energi untuk berlari-lari kencang dari gate E6 ke D4.Pdhl gate tutup jam 10. Alhamdulillah,detik-detik terakhir,berkeringat dan ngos-ngosan akhirnya bisa masuk pesawat.",1
"Berangkat dengan  air September dan Oktober 2017 ini, SEMUA Penerbangan  Air didelay 1-5 jam...waktu keberangkatan....", Air JT 782 tanggal 2 Oktober 2017 seharusnya berangkat dari CGK Jakarta pukul 16:45 menuju Makassar dan keberangkatan terlambat lebih dari 4 jam....berangkat pukul 22:45 dan tiba di Makassar Hasanuddin pukul 01:15.. .Maskapai penerbangan yang mengerikan....semua penerbangan mereka delay......dan saya mengambil penerbangan  Air dari UPG-SUB-CGK-UPG oleh  air pada bulan September 2017 dan Oktober 2017 dan semua penerbangan delay. ..terima kasih banyak  Air....,2
Penerbangan terjangkau dan tepat waktu," Air kebanyakan memiliki pesawat yang sangat modern dan rata-rata dalam kondisi baik. Beberapa tahun yang lalu penerbangan mereka sangat sering delay, tetapi tampaknya telah meningkat pesat. Penerbangannya sendiri ok dan tepat waktu. Kursi kecil untuk kebanyakan orang Eropa tetapi untuk penerbangan singkat tidak apa-apa dan dengan harga tiket yang rendah ini bisa diharapkan. Layanan di kapal baik. Dibandingkan dengan maskapai anggaran lainnya, mereka di atas rata-rata. Untung mereka memiliki jaringan penerbangan yang besar dan banyak penerbangan per hari.",4
Penerbangan dan masalah keterlambatan tidak bertoleransi," air kurang konsisten, tidak wajar sampai 4 kali reschedule sudah keterlaluan, pas perginya dari jakarta - bali saya sudah check in dan tepat 10 menit sebelum take off namun sudah closed dan tidak ada toleransi malah nambah 85% dari biaya, sekarang tanggal 23 pesawat JT015 seenaknya reschedule sampai 4 kali,  air so bad pokonya tidak punya toleransi, seenaknya rechedule sampai 4 kali, saran saya ya kalau telat sedikit beri toleransi untuk pindah ke jadwal pesawat berikutnya",1
penerbangan lebih murah," air lebih murah dari yang lain. tapi tidak nyaman untuk kaki Anda, AC cukup panas sebelum lepas landas. Kualitas dan harga makanan yang buruk.",3
hanya satu minusnya adalah  air selalu terlambat ( 15-20 menit )," air memiliki aturan khusus untuk bagasi kabin. Tapi jangan khawatir. Saya memiliki 3 penerbangan di Indonesia dengan  air. Dari Jakarta - Yogyakarta, Yogyakarta-Denpasar, Denpasar-Jakarta. Saat check-in mereka tidak melihat bagasi kabin saya. Mereka juga tidak membebani bagasi kabin saya. Jadi penumpang bisa membawa bagasi kabin ""normal"" ( 55x45x25) tanpa masalah.",5
Maskapai yang malang," Air memiliki banyak rute penerbangan di Indonesia tetapi layanannya paling buruk. Jangan berharap banyak dari maskapai ini. Jika ada acara atau pertemuan penting, lebih baik menggunakan maskapai lain karena biasanya tidak datang tepat waktu. Anda juga disarankan untuk tidak memasukkan beberapa barang berharga ke dalam bagasi karena tidak aman.",3
"Layanan Buruk, bagasi mahal, pendaratan bergelombang"," Air memiliki layanan terburuk dan bagasi terlalu mahal. Saya hampir ketinggalan penerbangan karena konter check-in tidak ramah, tidak tertarik dan lebih dari kelebihan muatan dengan ketentuan bagasi dan diskusi terkait !!! Penerbangan di Sulawesi mahal dan kebanyakan ditawarkan oleh  AIR. Saya memiliki 3 penerbangan dengan Maskapai ini: 2 pendaratan terlalu cepat dan bergelombang, 2 penerbangan dengan turbulensi yang kuat dan untuk sesaat kehilangan ketinggian termasuk serangan panik bagi saya. Tidak pernah ada sinyal untuk memakai ikat pinggang. Di masa lalu ada banyak insiden dan crash.... Saya tidak TERKEJUT lagi -Tidak pernah lagi!",1
HINDARI SINGA DI SEMUA BIAYA," Air memiliki reputasi pesawat yang tidak dirawat dengan baik serta membatalkan penerbangan pada pemberitahuan menit terakhir ... Saya harus tahu lebih baik sebelum memesan penerbangan dengan mereka, mereka baru saja membatalkan penerbangan saya kembali pada Sabtu 12 Jan dan tidak dapat menjadwal ulang kami ke yang lain penerbangan pada hari yang sama jadi kami harus bermalam di hotel dan terbang keesokan paginya. Layanan pelanggan tertawa ketika saya bertanya apakah maskapai akan mengembalikan uang saya menginap di hotel selama 1 malam ... dan memberi tahu saya jika saya ingin pengembalian uang untuk tiket kami (pastikan untuk membeli tiket fleksibel sebelumnya) itu akan dikreditkan kembali ke kartu saya pada totalitasnya (100% dapat dikembalikan) dalam waktu kurang lebih 3 bulan! Anggap diri Anda diperingatkan, jangan pernah menerbangkan  Air, Anda mempertaruhkan hidup Anda dan akan diperlakukan seperti sampah.",1
"Tidak Berguna, Membuang Waktu, Maskapai Terburuk di Dunia"," Air memiliki reputasi terburuk di Indonesia, namun pandemi tidak mengubah mereka sama sekali.. Tetap menjadi yang terburuk. Tidak ada penerbangan yang tepat waktu.. Sepertinya mereka bekerja pada waktunya sendiri.. Jangan pedulikan jadwal .. delay, beri orang kotak makanan ringan.. Selesai... Benar-benar menjijikkan.. Tidak ada permintaan maaf, tidak ada layanan pelanggan, tim darat yang tidak berguna dengan pengetahuan NOL... Hanya melihatmu dengan ekspresi bodoh di wajah mereka.. Memberitahumu. . Terlambat itu wajar.. Keterlambatan, pesawat rusak, itu normal untuk , lagi.. Contoh yang baik dari bisnis yang tidak peduli.. Saya tidak berpikir BOD  akan pernah terbang.. Atau mungkin mereka melakukannya .. Tidak peduli .. Jadi relai.. Jika Anda melakukan perjalanan bisnis dengan jadwal yang ketat .. Dan Anda memilih  .. Katakan saja pada pasangan Anda bahwa Anda akan terlambat 5-6 jam .. Karena itu rata-rata waktu  Air delay..",1
Harga dan layanan terbaik," Air menawarkan tiket murah ke seluruh kota besar di Indonesia. Semakin awal Anda memesan, semakin murah harga yang Anda dapatkan. Nama maskapai lain  sebenarnya adalah adik dari  Air untuk wilayah Indonesia Timur. Maskapai ini juga terbang ke Malaysia dan Thailand. Mereka sebagian besar memiliki armada pesawat baru dan staf darat serta awak pesawat sangat ramah. Untuk terbang ke kota-kota tertentu Anda mendapatkan 20 atau 25 kg bagasi check-in gratis. Ini adalah maskapai penerbangan yang menyenangkan dan saya menggunakannya selama 7 tahun terakhir untuk melakukan perjalanan keliling kepulauan Indonesia dari Barat ke Timur.",4
Maskapai yang oke, Air mendapat banyak pemberitaan buruk baru-baru ini karena kecelakaan pesawat dan masalah keselamatan lainnya. Tentu saja hal ini mempengaruhi persepsi saya terhadap maskapai. Penerbangan diatur oleh mitra bisnis sehingga tidak ada banyak pilihan. Namun setelah penerbangan saya akan mengatakan tidak apa-apa. Tidak ada yang menakutkan tentang  Air. Semuanya baik-baik saja dan diharapkan dari maskapai murah. Ini membawa Anda dari titik A ke titik B tanpa embel-embel. Anda ingin minuman atau makanan Anda membayar pramugari.,3
Penerbangan Halus, Air mengoperasikan Boeing 737-900 ER pada Sektor - Jakarta To Denpasar. Check-in lancar. Pengumuman Bandara terlalu keras untuk dipahami. Bisa jadi di luar kendali  Air. Boarding itu mudah. Kami berhasil pindah ke bagian belakang Pesawat karena banyak kursi kosong. Pitch kursi agak ketat untuk orang dengan tinggi rata-rata. Orang yang tinggi pasti sedang berduka. Itu adalah penerbangan yang mulus - terbang dengan baik,4
memiliki rute penerbangan ke hampir semua bandara di indonesia," air menjadi lebih baik dan lebih baik. lima tahun lalu, orang selalu mengeluh tentang maskapai ini, tetapi mereka tidak punya pilihan.  air adalah pemimpin pasar di indonesia. mereka memiliki rute ke hampir setiap kota di indonesia. ini adalah maskapai berbiaya rendah jadi jangan berharap ada hiburan dalam penerbangan. tapi saya rasa mereka membuat beberapa perbaikan sekarang.",3
banyak pesawat banyak rute, air menjadi moda transportasi low budget milik pribumi asli indonesia. seringkali ada promo disetiap rute,5
Maskapai penerbangan dengan harga murah," air menjadi pilihan terakhir maskapai yg saya pilih karena dengan harga yg bersaing dgn budget maskapai lain namun utk fasilitas dan kenyamanan dipesawat  air sama sekali tidak memberikan kemajuan yg signifikan testi dari orang-orang mengenai ketidakpuasan pada  air benar ada nya saya rasakan, semoga  air bisa berbenah diri",3
Perusahaan penerbangan berbiaya rendah akan dibuang, Air menunda penerbangan kami 10 menit sebelum keberangkatan tanpa penjelasan atau alasan apa pun. Mereka membiarkan kami tanpa solusi. Kami kehilangan koneksi kami dan tidak punya pilihan lain selain membeli tiket baru ke  3 dengan harga.... Akhirnya lepas landas 5 jam kemudian!!! Staf tidak dapat menjawab kami dan memberikan solusi apa pun... Jangan pernah memilih perusahaan ini untuk menghemat uang.... tidak akan!,1
Maskapai LCC," Air merupakan maskapai LCC terbesar di Indonesia. sebagai maskapai LCC, saya sendiri tidak berharap banyak dari sergi service. Poin plus mereka ada di harga yang cukup murah dan pilihan frekuensi terbang yang paling banyak serta rute yang paling banyak pilihan di Indonesia. Hindari terbang di malam hari karena kemungkinan untuk terkenda delay lebih besar.",3
Bukan Penerbangan Pilihan," Air merupakan penerbangan biaya rendah yg cukup besar di Indonesia dgn jalur pemerbangan hampir ke semua kota besar di Indonesia. Penerbangan ini memiliki layanan yg rata-rata bahkan terkesan buruk. Keterlambatan penerbangan bukan lah hal yg aneh. Untuk pemerbangan menuju Penang JT 124 pukul 08.00 pagi terlambat 30 menit dari jadwal. Untuk layanan di pramugari nya terasa atidak ramah, berbeda dgn penerbangan domestik  Air. Hal yang sangat aneh bagi saya adalah di pesawat B737-800 NG  tersebut, deretan kursi ABC dgn DEF memiliki jarak kursi (leg room) yg berbeda. Kursi saya di di 11 C terasa sangat sempit, hingga dengkul kaki menyentuh kursi di depan saya, sedangkan teman saya di kursi 11 D terlihat nyaman dgn tinggi badan kami yg sama 180 cm. Ternyata deretan ABC dan DEF berbeda 3 inch lebih lega di deretan DEF. Menurut saya merupakan cara pengaturan kursi yg aneh. ",2
penerbangan low budget," Air merupakan salah satu maskapai yang menawarkan harga tiket yang low budget. selama saya naik maskapai ini, saya belum pernah merasakan delay.",3
Terbang dengan  air," air merupakan salah satu penerbangan low cost yang mana di kita tidak mendapat layanan seperti makan, film, lagu selama perjalanan..penerbangan ini saya rekomen untuk anda yang memang berpergian dengan budget..",3
"Biasa aja sih, kalo keluar negri ga pernah delay"," air mirip lah dengan maskapai lan. Biasa biasa aja, di bangku nya selain ada majalah ada juga buku doa untuk macam2 agama. Trus ac nya panas. Kalo baru dufuk panas, ga seperti pesawat lain bgitu masuk udah dingin ",3
Sempit," air mungkin adalah maskapai penerbangan konsisten terbaik di Indonesia, dengan tidak banyak delay dan pelayanan yang baik, Satu-satunya hal yang saya temukan minus adalah ruang kaki! Saya 6 kaki 2â€ dan penerbangan domestik ini tidak memiliki kursi kelas bisnis. Bersikap baiklah dengan staf darat untuk memperhatikan dan memberikan kursi yang lebih baik.",4
Terbang dengan  Air," Air pasti yang terbenak didalam pikiran semua orang adalah pesawat yang sering delay. tapi menurut saya tidak setiap kali saya berlibur, maskapai ini membawa saya dengan ontime. pelayanan yang sangat memuaskan pasti karna semua maskapai berlomba-lomba untuk melayani dengan sepenuh hati. namun sayang untuk kebersihan di dalam pesawat masih kurang, saya menemukan boardingpass penumpang yang tanggal sebelumnya menggunakan pesawat ini.",4
MASALAH KESELAMATAN DAN OPERASI PENERBANGAN," Air Penerbangan JT642 23 Juni 2017 17:30 sd 19:25 SUB to LOP Pesawat: Boeing 737 Registrasi: PK-LHK KEAMANAN PENERBANGAN : 1. KELELAHAN PESAWAT- Awak kabin tertidur saat mendaki! 2. FOD- Dua wadah minuman yang dibuang pada penyebaran di antara Gerbang 3 dan pesawat. 3. TEMPAT DUDUK- Kursi 31A. Tali pengaman tidak terpasang dengan benar. Untuk memakai gesper menghadap ke luar pax dipaksa untuk menerima twist di sabuk. OPERASI: 1. Pemesanan penerbangan asli kami dibatalkan (JT824) dan kami terpaksa menerima penerbangan lebih awal atau satu hari berikutnya. Kami kemudian harus mengatur ulang pengaturan perjalanan yang ada untuk membuat waktu penerbangan baru kami yang diberlakukan. 2. Setelah kami tiba di terminal keberangkatan (@13:30) dan sampai kami naik tampaknya tidak ada satu pun penerbangan  Air yang berangkat tanpa delay. Rata-rata tampaknya sekitar satu jam. 3. Meskipun saya tidak berharap pengumuman bandara di luar Inggris akan diulang dalam bahasa Inggris setelah bahasa asal, (walaupun semua bandara internasional lain yang pernah saya kunjungi) Anda harus memastikan minimal layar keberangkatan sudah benar, bagaimana lagi kita berada di tempat yang benar pada waktu yang tepat? Pada akhirnya layar informasi hanya diubah setelah saya menanyai anggota staf  Air dan diberitahu ada delay 1 jam. 4. Saat layar yang sekarang diperbarui akhirnya berubah dari delay menjadi naik; kami mendekati gerbang hanya untuk disuruh berdiri di samping untuk membiarkan pesawat lain naik dari gerbang yang sama, tidak lama kemudian kami meletakkan atau tas di lantai, anggota staf lain kemudian menyuruh kami naik. 5. Waktu keberangkatan asli diterbitkan sebagai 17:30 lokal, kami sebenarnya tidak merotasi hingga 19:22 lokal. Kami akhirnya turun pesawat pada pukul 21:19 lokal (1 Jam karena perubahan zona waktu) sekitar 2 jam setelah waktu kedatangan yang dijadwalkan. Pertunjukan yang sangat buruk dari maskapai internasional!",2
 Air semakin membaik," Air sekarang sudah tidak Delayed lagi, Pramugarinya juga komunikatif. Harganya yang ekonomis cocok bagi kami perantau yang kuliah di luar kota",4
Banyak yg mengalami hal yg tdk menyenangkan dgn air tp puji Tuhan saya lancar2 saja," air semakin hari semakin memperbaiki sitem mereka, memang banyak juga kejadian delay atau di ubah jadwalnya, beruntung saya tidak mengalami perubahan apa, selama ini lancar2 saja.",4
Penerbangan dari Bali ke Jawa Timur," Air seringkali merupakan maskapai penerbangan paling murah untuk perjalanan kami di seluruh Indonesia, dan oleh karena itu kami adalah pelanggan tetap. Anda mendapatkan apa yang Anda bayar: setiap penerbangan terjual habis, mereka sering berangkat terlambat. Pesawatnya cukup bersih, menurut pengalaman kami, dan staf kabin ramah dan efisien. Perjalanan di Indonesia biasanya cukup singkat, jadi kami pergi dengan maskapai ekonomi ini.",3
Penerbangan standar namun harga tiket sudah mahal," Air sudah mahal harga tiketnya dan sudah tidak semurah dulu, bagasi sudah berbayar dan tidak gratis seperti dulu. Namun meskipun harga tiket sudah mahal namun pelayanan masih sama seperti dulu. Artinya harga tiket dengan service sudah tidak seimbang lagi",3
Terkadang Murah berarti melangkah terlalu jauh...," Air sudah memiliki reputasi murah, jadi kita semua tahu bahwa layanannya murah. Tetapi saya pikir masih ada beberapa tingkat layanan minimum yang harus diperhatikan oleh semua maskapai penerbangan. Tinggi saya sedang untuk seorang pria - hanya di bawah 6 kaki, tapi tidak mungkin saya bisa muat di kursi standar pada 737 yang saya tempatkan. Jadi di sana saya duduk - lutut ditarik ke atas sehingga saya duduk hampir dalam posisi janin, dan kemudian menahan lutut saya ke kantong majalah selama penerbangan 1,5 jam. Rasa sakit.  perlu memikirkan kembali jarak kursi minimumnya. Mereka mungkin bekerja untuk orang yang lebih kecil - tetapi saya hanya memiliki tinggi sedang dan tidak mungkin saya bisa melakukan penerbangan itu lagi.",2
Terus mengecewakan," Air telah mengembangkan sikap; ""Kami adalah yang terbaik pada harga dan pilihan penerbangan terluas, tidak ada yang dapat bersaing, oleh karena itu kami tidak perlu peduli dengan pelanggan."" Sikap layanan pelanggan mengerikan. Layanan, dan antarmuka dengan pelanggan saat check-in sangat buruk. Keterlambatan penerbangan di hampir semua penerbangan. Yang terburuk dan Tolong perhatikan ini... Pilot merokok selama penerbangan! Saya akan mempertimbangkan semua opsi untuk menghindari penggunaan , tetapi sayangnya mereka mendominasi pasar di wilayah ini. Jadi saya rasa saya harus terus menoleransi bau nikotin di udara.",1
Maskapai terburuk yang pernah ada," Air telah menjadi maskapai penerbangan terburuk yang pernah saya jalani. Kedua penerbangan delay, menyebabkan banyak stres selama transfer kami di Jakarta. Maskapai tidak menyediakan air gratis di penerbangan yang menurut saya konyol.",1
 Air," Air tergolong punya reputasi kurang baik, cendrung molor hampir stiap penerbangan, sy sdh ckp lama tidak berkenan memakai jasa penerbangan  Air krn berkat reputasi nya tsb, bahkan sy bbrp kali mengalaminya sendiri, terakhir bln maret yl sy cb kembali menaiki  Air, ygmn diluar dugaan sy bhw  Air sdh mengalami perobahan yg drastis, trus trang di luar dugaan sy, yaitu tepat wkt & kondisi pesawat yg oke banget, ayo  Air tunjukan taringmu, jgn sp ""melempem"" lg",3
Pelayanan Pindah Gate Kurang," air terkadang membuat penumpang harus berlarian dari Gate A1 ke Gate A7. Tanpa pemberitahuan sebelumnya, dan hanya memberitahukan saat akan boarding. Membuat penumpang harus segera mungkin berlari",3
